Artist,Tagline,Date,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify,YouTube,Instagram,Photo URL,My take,My rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Gorillaz,The most famous animated band on earth,2026-06-14,,,,Alternative Rock/Electronic,UK,"Gorillaz is a British virtual band created in 1998 by musician Damon Albarn and artist Jamie Hewlett. Known for their genre-blending sound that incorporates elements of rock, hip-hop, electronic, and world music, the band has achieved global success with hits like 'Clint Eastwood' and 'Feel Good Inc.' and has won multiple awards, including a Grammy.",,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/9fc9/8a/21aa36458610619e4cbdc560f00d58e96087aeee.png,"Gorillaz's innovative fusion of diverse musical styles, combined with their unique virtual band concept and visually striking animated personas, has made them a groundbreaking act in modern music. Their ability to collaborate with a wide range of artists has kept their sound fresh and relevant over decades.",9,,Male,No,,https://www.bestkeptsecret.nl/bands/gorillaz,,"Almost three decades in, the adventures of 2D, Murdoc Niccals, Russel Hobbs and Noodle have guided us across Plastic Beaches and Cracker Islands, and now in its ninth episode, clambering up The Mountain. Indeed, the novelty of starting an animated band became so much more for founders Damon Albarn and Jamie Hewlett. Behind the celluloid, Gorillaz has become a cross-generational, genre-blending community of legends and current greats – as glorious and vital as ever.",,No
Jack White,Rock music's chief anti-hero,2026-06-12,,,,Rock/Blues Rock/Garage Rock,USA,"Jack White is an American musician, singer, and songwriter best known as the frontman of The White Stripes. Renowned for his raw, blues-inspired guitar work and innovative production, he has also achieved success with other projects like The Raconteurs and The Dead Weather, as well as a prolific solo career.",,https://open.spotify.com/artist/4FZ3j1oH43e7cukCALsCwf,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/87a4/e1/b7a25b5efccdaa459575a85dc82875726a00f34b.jpg,Jack White's ability to fuse vintage blues and garage rock with modern sensibilities has made him a defining figure in 21st-century rock music. His innovative guitar techniques and commitment to analog recording have earned him critical acclaim and a lasting influence on the genre.,9,,Male,No,,https://www.bestkeptsecret.nl/bands/jack-white,,"A legendary guitar hero in days where that concept seems rarer and rarer, Jack White never plays it safe.",,No
Nick Cave & The Bad Seeds,Legendary songsmith of darkness and devotion,2026-06-13,,,,Post-punk/Alternative rock,Australia,"Nick Cave & The Bad Seeds are an Australian rock band formed in 1983, known for their dark, brooding sound that blends post-punk, gothic rock, and blues influences. Fronted by the enigmatic Nick Cave, the band has released critically acclaimed albums like 'Murder Ballads' and 'The Boatman's Call,' earning a reputation for their poetic lyricism and intense live performances.",,https://open.spotify.com/artist/4UXJsSlnKd7ltsrHebV79Q,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/a026/1b/6ad71187514497cdb428919ce4171f68091e8628.jpg,"Nick Cave & The Bad Seeds are celebrated for their ability to merge haunting narratives with a dynamic range of musical styles, from raw, visceral energy to melancholic balladry, making them one of the most influential acts in alternative music.",9,,Male,No,,https://www.bestkeptsecret.nl/bands/nick-cave-the-bad-seeds,,"Menacing, majestic and often-times touching the divine, they have one of the most acclaimed back catalogs around. Nick Cave's ability to veer from blackened goth punk sermons to a tender-hearted gospel ballad is no longer a secret so well kept. After a thunderous show in 2022, Nick Cave and the Bad Seeds return to Hilvarenbeek with hymns of faith, hope and carnage both new and old.",,No
∑tella,Captivating Mediterranean dream pop,2026-06-14,,,,Indie Pop/Electronic,Greece,"∑tella is a Greek indie pop artist known for her unique blend of dreamy synth-pop and electronic beats, often incorporating elements of traditional Greek music into her sound. She has gained recognition for her captivating vocals and intricate production, releasing music through prominent indie labels like Sub Pop.",,https://open.spotify.com/artist/2tBWWgGv7H5ymPtJrT1rNu,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/da21/b0/a27c8d629ccfd4d9405b4f22223bb1f7dd15c91c.jpg,"∑tella's music stands out for its fusion of ethereal synth textures with subtle nods to her Greek heritage, creating a sound that is both modern and rooted in tradition. Her ability to craft atmospheric yet accessible tracks has earned her a growing international audience.",7,,Female,No,,https://www.bestkeptsecret.nl/bands/tella,,"In Greek songwriter Σtella’s music, you can literally smell the sea air and the dizzy spells of unspoken attraction.",,No
Ão,Warm-blooded & ethereal electronic pop,2026-06-12,,,,,Belgium,"[using festival bio due to a lack of publicly available data] Belgian formation Ão’s debut album ‘Ao Mar’ is Portuguese for ‘to the sea’.It’s hard to imagine a more apt way to describe their enchanting, constantly unfurling music. Ão’s songs are texturally rich odysseys where electronic music, dream pop, saudade, ambient folk and neojazz constantly shape-shift: habitually in the most surprising, emotionally resonant ways.",,https://open.spotify.com/artist/2FnhKB01CBc0KBjcTDDOod,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/c3bf/22/ca945358d824fdf4594edb36e5e4aeb872595b79.jpg,,,,,,,https://www.bestkeptsecret.nl/bands/ao,,"Belgian formation Ão’s debut album ‘Ao Mar’ is Portuguese for ‘to the sea’.It’s hard to imagine a more apt way to describe their enchanting, constantly unfurling music. Ão’s songs are texturally rich odysseys where electronic music, dream pop, saudade, ambient folk and neojazz constantly shape-shift: habitually in the most surprising, emotionally resonant ways.",,No
Aldous Harding,Chameleon-like alt folk siren,2026-06-13,,,,Indie Folk/Alternative,New Zealand,"Aldous Harding is a New Zealand singer-songwriter known for her enigmatic and theatrical performances. Her music blends folk and alternative influences, characterized by haunting vocals and poetic lyricism, earning critical acclaim and a dedicated following.",,https://open.spotify.com/artist/3lmR0qMiGuoIF9UC54egcG,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/805c/50/5b6dfc06f773b7d260cc8d410da3c25d316f66ea.jpg,"Harding's unique vocal delivery and ability to weave intricate, emotive narratives through her music set her apart in the indie folk scene. Her albums, such as 'Party' and 'Designer,' showcase her experimental approach and artistic depth.",8,,Female,No,,https://www.bestkeptsecret.nl/bands/aldous-harding,,"Aldous Harding is one of those rare shapeshifting artists that comes along every so often.Sometimes in the very same song, she can be theatrical, comedic, soothing and frightening in a heartbeat – leaving audiences catching their breath on what could happen next. Since Harding's 2019 breakthrough album Designer, her mystique and magnetism only seems to have grown, writing songs that often capture the phenomena inside the gaps of living we tend to overlook.",,No
Amaarae,Transatlantic R&B & pop marvel,2026-06-12,,,,Afropop/R&B/Alté,Ghana,"Amaarae is a Ghanaian-American singer, songwriter, and producer known for her genre-blending sound that fuses Afropop, R&B, and Alté influences. Her debut album, 'The Angel You Don’t Know,' received critical acclaim for its innovative production and bold exploration of themes like identity and sexuality.",,https://open.spotify.com/artist/21UPYSRWFKwtqvSAnFnSvS,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/4248/b7/d0762c3e0dc8786a6ce71ba8841f4b43b34c00e4.jpg,"Amaarae's distinctive sound combines sultry R&B vocals with experimental Afropop and Alté rhythms, creating a unique and boundary-pushing musical identity. Her work is celebrated for its boldness and fresh approach to contemporary African music.",8,,Female,Yes,,https://www.bestkeptsecret.nl/bands/amaarae,,"Born in the Bronx with Ghanaian roots, this fast-rising producer, songwriter and vocalist pens sweltering tracks that are both ethereal and club-ready. Amaarae's transatlantic R&B/Afrobeat hybrid pop is rooted in highlife, baile funk and dance music, yet bares a non-conformist, playful streak that trail blazes straight into the future.",,No
Apichat Pakwan,Balmy blend of Thai music & electronics,2026-06-14,,,,Electronic/World Music,Netherlands,"Apichat Pakwan is a Dutch-Thai collective that blends traditional Isan (Northeastern Thai) music with modern electronic beats, creating a unique fusion of cultural and contemporary sounds. Their work often incorporates traditional Thai instruments like the khaen alongside electronic production, earning them recognition in the global music scene.",,https://open.spotify.com/artist/1DirWCP9eQLGP1Ik7lH5qg,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/a6af/cc/0e73896d0cff6cefb615fe08a6d53a88dde7c6aa.jpg,"Their innovative fusion of traditional Isan music with electronic production results in a vibrant and culturally rich sound, standing out in the global electronic music landscape.",7,,Mixed,Yes,,https://www.bestkeptsecret.nl/bands/apichat-pakwan,,"Apichat Pakwan brings a lively crossover of electronics and Thai esan and molam movements: the sweetest balance between the modern and the traditional.It unfolds miraculously live as well: you have producer Olivier Schreuder serving up beats that blend seamlessly with the Thai musicians and singers: not in that crude mash-up kind of way, but warmly courting each other in a tryst. This approach carries over to audiences, creating a hot & sweltering dancefloor environment.",,No
Ata Kak,Infectious Afrobeats cult hero,2026-06-12,,,,Highlife/Hip-Hop/Electronic,Ghana,"Ata Kak is a Ghanaian musician whose unique blend of highlife, hip-hop, and electronic music gained global recognition after his 1994 album 'Obaa Sima' was rediscovered and reissued by the label Awesome Tapes From Africa in 2015. His music is characterized by lo-fi production, infectious rhythms, and his distinctive vocal delivery.",,https://open.spotify.com/artist/172WdsNGJYNNXVNQ1tXfrB,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/a2ac/c7/4fcafc6f41d67b047c73005b25c96f2e14e29c8f.jpg,"Ata Kak's fusion of traditional Ghanaian highlife with 90s hip-hop beats and lo-fi electronic production creates a sound that is both nostalgic and ahead of its time, making him a cult figure in global music circles.",7,,Male,Yes,,https://www.bestkeptsecret.nl/bands/ata-kak,,"Ata Kak’s rise as cult phenomenon shows us the power of Doing It Yourself – how it can cultivate some completely original pop music.Yaw Atta-Owusu knew he liked reggae music, he liked funk, he liked Ghanaian high life music, and he liked Grandmaster Flash. But why pick just one? With the necessary recording equipment, his signature Twi flow and an unblemished zest for life, Ata Kak’s legendary LP Obaa Sima became a global grassroots success. And we're still dancing feverishly to its tunes today.",,No
BCUC,Fast & furious Afro-psych jams,2026-06-13,,,,Afro-psychedelic funk/Traditional South African music,South Africa,"BCUC (Bantu Continua Uhuru Consciousness) is a South African band known for their fusion of traditional South African music with modern genres like funk, hip-hop, and punk, creating a powerful and politically charged sound. Their music often features hypnotic rhythms, chants, and socially conscious lyrics, earning them international acclaim and a strong presence in the global festival circuit.",,https://open.spotify.com/artist/5CGnQOjeOoZW4a4FoPhUxW,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/0230/68/1042a7a3e8dbd502211e14646d76c7a9bfe23fa2.jpg,"BCUC's ability to blend traditional South African sounds with contemporary genres results in a raw, energetic, and deeply engaging musical experience. Their live performances are particularly notable for their intensity and communal spirit, making them a standout act in world music.",8,7,Mixed,Yes,,https://www.bestkeptsecret.nl/bands/bcuc,,"The Afropsychedelic pounce of Bantu Continua Uhuru Consciousness screams with a zealous, ceremonial spirit.BCUC's formula seems so simple when you break it down: bass, drums, percussion, voice chants all conspiring to spark frantic, joyous movement. And the Soweto, South-Africa based collective does this better than anyone: this is music awakened from ancient lineage, yet visionary, loud and transcending convention of what a band can be.",,No
Blood Incantation,One of death metal's most visionary bands,2026-06-12,,,,Death Metal/Progressive Metal,USA,"Blood Incantation is a death metal band from Denver, Colorado, known for their intricate compositions blending technical death metal with progressive and atmospheric elements. Since their formation in 2011, they have gained critical acclaim for albums like 'Starspawn' and 'Hidden History of the Human Race,' which showcase their cosmic themes and complex songwriting.",,https://open.spotify.com/artist/6FGv87WQ3mJWn3cmLUww6x,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/4b85/b1/bac725cd9089559b3a5969159de1b71afbb555f6.jpg,Blood Incantation's fusion of technical death metal with progressive and space-themed elements creates a distinctive sound that pushes the boundaries of the genre. Their ability to balance brutality with atmospheric depth has earned them a dedicated following and critical praise.,8,4,Male,No,,https://www.bestkeptsecret.nl/bands/blood-incantation,,"In their own words, death metal behemoths Blood Incantation make mystical music for mystical people.",,No
Bruno Berle,Supple polaroid filter latin pop,2026-06-13,,,,MPB/Indie,Brazil,"Bruno Berle is a Brazilian singer-songwriter and multi-instrumentalist known for his intimate and melodic approach to Música Popular Brasileira (MPB) blended with indie influences. His music often features gentle vocals, intricate guitar work, and a minimalist yet emotive production style.",,https://open.spotify.com/artist/6wUEejDd6aQJtchKP5c7Q0,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/189a/5f/5837d14e6d407d54feedb1103dfc82c888c43cfe.jpg,"Bruno Berle's ability to merge traditional Brazilian MPB with contemporary indie aesthetics creates a soothing and introspective soundscape, making his work stand out in the global indie music scene.",6,,Male,Yes,,https://www.bestkeptsecret.nl/bands/bruno-berle,,"From accounts of people who have been to Brazil, it does seem like time works differently over there. Bruno Berle’s warm-blooded pop affirms this notion all the more. Carefree, soft around the edges and unhurried, Berle’s tunes embrace you with the kind of affinity of a home-cooked meal. For you lovers out there, Bruno’s set at Best Kept would be good time to get cosy.",,No
Croíthe,Darkly romantic noise rock up-and-comers,2026-06-12,,,,goth/shoegaze,Ireland,"[using festival bio due to a lack of publicly available data] Fontaines D.C., The Murder Capital, Sprints, Gurriers... and now, Croíthe appear to be the next to grab the baton.Great bands from Ireland seem sprout to the surface just about every second these days: Croíthe bring that darkly romantic, prowling goth/shoegaze sensibility that will make fans of Bauhaus, Sisters Of Mercy and fellow Dublin-dwellers Just Mustard salivate.",,https://open.spotify.com/artist/1rt7AxU5xgNMAxeIzUsjXl,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/1403/6d/56ac3d0d22f851eb438cfbc95d95933a348f3cc8.jpg,,,,,,,https://www.bestkeptsecret.nl/bands/croithe,,"Fontaines D.C., The Murder Capital, Sprints, Gurriers... and now, Croíthe appear to be the next to grab the baton.Great bands from Ireland seem sprout to the surface just about every second these days: Croíthe bring that darkly romantic, prowling goth/shoegaze sensibility that will make fans of Bauhaus, Sisters Of Mercy and fellow Dublin-dwellers Just Mustard salivate.",,No
Curtis Harding,Modern soul man with deep bag,2026-06-12,,,,Soul/R&B/Psychedelic Rock,USA,"Curtis Harding is an American singer-songwriter known for his unique fusion of soul, R&B, and psychedelic rock. He gained critical acclaim with his debut album 'Soul Power' in 2014 and has since been recognized for his retro-inspired sound and emotive performances.",,https://open.spotify.com/artist/0CUpzKPDfIVzYqMn47jiV3,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/17c8/e8/c4f62a0268aa7b56e5787def3d0ad8ea501419f6.jpg,"Harding's ability to blend vintage soul with modern influences creates a timeless yet innovative sound, drawing comparisons to legends like Curtis Mayfield while maintaining his own distinct identity.",7,,Male,Yes,,https://www.bestkeptsecret.nl/bands/curtis-harding,,"With a cool you simply can’t teach, Curtis Harding instills his honed psychedelic sound with pure soul, gospel, garage and funk.Harding has made a habit out of stepping into new musical situations like a wide-eyed student – only to seemlessly absorb them as if they're always part of his DNA. A true chameleon who keeps on shining in whatever musical context he operates – his sights perpetually set on the next time he shuffles his now extensive deck of influences.",,No
Dame Area,Acidic & percussive industrial romps,2026-06-13,,,,Industrial/Minimal Synth,Spain,"Dame Area is a Barcelona-based duo known for their unique blend of industrial rhythms, minimal synth, and tribal percussion, creating a hypnotic and raw sound. Their music often features repetitive patterns and primal energy, drawing inspiration from both post-punk and experimental electronic traditions.",,https://open.spotify.com/artist/1Cmtis0NcKGTvAnovenEJl,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/65f5/05/0302e32c891a736e6d8ee1b08a0dd19524a3fe9e.jpg,"Their fusion of industrial textures with tribal and minimal synth elements results in a visceral and captivating sound, standing out for its raw intensity and experimental edge.",6,2,Mixed,No,,https://www.bestkeptsecret.nl/bands/dame-area,,"Remember that one Death Grips-lyric about having the DNA of gothic lemons? It describes Barcelona industrial duo Dame Area to a tee.Their sound is both abrasive and strangely whimsical: hissy, static-laden textures, bile-drenched polyrhythms and shouty vocals that sound like they've been recorded in claustrophobic solitary confinement. Dame Area put a fresh and fun spin on industrial music, marrying 'rave' and 'ravenous' in novel, eye-opening ways.",,No
Don West,Aussie soul hunk with vintage sound,2026-06-14,,,,,Australia,[using festival bio due to a lack of publicly available data] In the immortal words of Arthur Conley: ‘Do you like good music/ That sweet soul music?’ Australian singer Don West certainly does.,,https://open.spotify.com/artist/2FjzRd1bgtsmhESettmFAN,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/b75a/a5/0fe25aada2e7b7d123c97c6b01fc517d52a03f2a.jpg,,,,,,,https://www.bestkeptsecret.nl/bands/don-west,,In the immortal words of Arthur Conley: ‘Do you like good music/ That sweet soul music?’ Australian singer Don West certainly does.,,No
Ethel Cain,The queen of Southern gothic folk pop,2026-06-14,,,,Alternative/Indie,USA,"Ethel Cain is the moniker of American singer-songwriter Hayden Anhedönia, whose music blends elements of gothic Americana, dream pop, and ambient. Her debut album 'Preacher's Daughter' (2022) received critical acclaim for its haunting storytelling and deeply personal exploration of themes like religion, family, and identity.",,https://open.spotify.com/artist/0avMDS4HyoCEP6RqZJWpY2,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/b67a/2a/235c999746777f65fad9d59315201475990d5190.png,"Ethel Cain's music is a haunting fusion of gothic Americana and dream pop, with her debut album 'Preacher's Daughter' standing out for its cinematic storytelling and emotionally raw lyricism, earning her a distinctive place in contemporary indie music.",7,,Non-binary,No,,https://www.bestkeptsecret.nl/bands/ethel-cain,,"Ethel Cain is one of pop music's most thrilling storytellers, in both the mainstream and the fringes.",,No
Genesis Owusu,"Bombshell blender of rap, post-punk & indie",2026-06-14,,,,Hip hop/Funk/Soul,Australia,"Genesis Owusu is a Ghanaian-Australian artist known for his genre-defying blend of hip hop, funk, and soul, often infused with socially conscious themes. His debut album 'Smiling with No Teeth' received critical acclaim, winning multiple ARIA Awards and establishing him as a unique voice in contemporary music.",,https://open.spotify.com/artist/1HvH97rzvCH6lfnLlgyfke,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/da4c/ae/86bfd86d247733aef358d0a1b45ff9c905eaadc7.jpg,"Genesis Owusu's ability to seamlessly merge genres like hip hop, funk, and soul with introspective and socially charged lyrics sets him apart as a bold and innovative artist. His dynamic performances and experimental sound have earned him widespread critical acclaim.",8,,Male,Yes,,https://www.bestkeptsecret.nl/bands/genesis-owusu,,"One of his LPs might be called Struggler, the way Ghanaian/Australian artist Genesis Owusu mixes styles like post-punk, rap, pop, funk and electro feels downright effortless.",,No
Getdown Services,Jolly have-a-go 'power disco' hijinks,2026-06-14,,,,power disco,United Kingdom,"[using festival bio due to a lack of publicly available data] This sense of abandon morphs into a thrifty mix of eighties pop, post-punk, and classic rock that’s frequently been dubbed as ‘power disco’. Indeed, these two freewheeling Bristolians seem to make it up as they go along, and it often unfolds in similar comedic brilliance as in that famous sitcom “Peep Show”. A love for all things music-related, from Chic to AC/DC, is worn on Getdown Services' furrowed sleeves.",,https://open.spotify.com/artist/4OTD2AbOu5iBqSWk3NfwG5,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/3c75/df/848330b8dcc2d8d4bf04ee4369038e3493056ee9.jpg,,,2,,,,https://www.bestkeptsecret.nl/bands/getdown-services,,"This sense of abandon morphs into a thrifty mix of eighties pop, post-punk, and classic rock that’s frequently been dubbed as ‘power disco’. Indeed, these two freewheeling Bristolians seem to make it up as they go along, and it often unfolds in similar comedic brilliance as in that famous sitcom “Peep Show”. A love for all things music-related, from Chic to AC/DC, is worn on Getdown Services' furrowed sleeves.",,No
GHOSTWOMAN,Dynamic transatlantic rock duo,2026-06-13,,,,Psychedelic Rock/Garage Rock,Canada,"Ghost Woman is a Canadian musical project led by Evan Uschenko, known for its lo-fi, vintage-inspired psychedelic rock sound that draws heavily from 60s and 70s garage rock influences. The project has gained attention for its raw, analog production and hypnotic, groove-driven tracks.",,https://open.spotify.com/artist/4IEpQR24sUgq6BQw2MdZIy,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/643f/07/75621da835048880cdce5e45e9ca5ae6e55e9c7c.jpg,"Ghost Woman's music stands out for its authentic retro aesthetic, blending jangly guitars, reverb-soaked vocals, and a hazy, nostalgic atmosphere reminiscent of classic psych-rock bands.",6,,Male,No,,https://www.bestkeptsecret.nl/bands/ghostwoman,,"No genre has been declared dead more than rock; yet the duo of GHOSTWOMAN fancies itself as fiery necromancers, reinventing its raw power all over again.Canadian Evan Uschenko (guitars/vocals) and Belgian Ille van Dessel (drums/percussion) began their voyage an entire ocean apart: now their collision course brings new tremors in activity, exploring rock of the psychedelic, stoner, garage and indie variety through the prism of their own infectious chemistry.",,No
Grote Geelstaart,Math-tastic prog-noise minions,2026-06-13,,,,,,"[using festival bio due to a lack of publicly available data] If music was somehow a math equation unlocking the fifth dimension in space, Grote Geelstaart are the kind of band to figure it out, using odd time signatures, riffs that scream 'fuck you, diatonic scale!', and a lot of sweating it out through three-piece suits. Grote Geelstaart's music will flop like fish out of water, only to magically grow arms and legs on the spot: rock music evolving in real time!",,https://open.spotify.com/artist/4KebXdedNLEtwiS4T1SAR1,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/cd1f/ad/033347cb977c8d200d69b53b2d4c326eeb341190.jpg,,,,,,,https://www.bestkeptsecret.nl/bands/grote-geelstaart,,"If music was somehow a math equation unlocking the fifth dimension in space, Grote Geelstaart are the kind of band to figure it out, using odd time signatures, riffs that scream 'fuck you, diatonic scale!', and a lot of sweating it out through three-piece suits. Grote Geelstaart's music will flop like fish out of water, only to magically grow arms and legs on the spot: rock music evolving in real time!",,No
Hayley Williams,Paramore icon & eclectic pop star,2026-06-13,,,,Alternative Rock/Pop Punk,USA,"Hayley Williams is an American singer, songwriter, and musician best known as the lead vocalist and primary songwriter of the Grammy-winning rock band Paramore. She has also released solo work, showcasing a more introspective and experimental pop sound.",,https://open.spotify.com/artist/6Rx1JKzBrSzoKQtmbVmBnM,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/5ea9/da/ec5c3c106193595a5cb93cf2ac1ac77415ab18e8.jpg,"Hayley Williams' dynamic vocal range and ability to shift between high-energy pop punk anthems and introspective, experimental solo work make her a standout artist in modern rock and alternative music.",8,,Female,No,,https://www.bestkeptsecret.nl/bands/hayley-williams,,"From fronting pop punk icons Paramore to spearheading an illustrious solo career, Hayley Williams's artistic walk of life is both singular and inspiring.Williams influenced a whole generation of stars, from Billie Eilish to Olivia Rodrigo – and the damnedest thing happened: those artists reinvigorated her work in return. The 17 song release Ego Death At a Bachelorette Party is as multi-faceted and free spirited as pop music gets – plus a rare shining example of a grassroots and community-driven project on a mainstream level. This is why Hayley Williams is truly our favorite band.",,No
Job Jobse,Amsterdam's most notorious club culture omnivore,2026-06-13,,,,Electronic/House/Techno,Netherlands,"Job Jobse is a Dutch DJ and producer known for his eclectic and emotive sets that blend house, techno, and disco influences. He has performed at major festivals like Dekmantel and has held residencies at renowned clubs such as De School in Amsterdam.",,NOT ON SPOTIFY,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/69c1/af/eb019773e3250a83fb9edfaf6d57ceabb79e5cb7.jpg,"Job Jobse's ability to seamlessly mix euphoric house, driving techno, and nostalgic disco makes his sets both dynamic and emotionally resonant, earning him a reputation as one of the most versatile DJs in the electronic music scene.",7,,Male,No,,https://www.bestkeptsecret.nl/bands/job-jobse,,"From graveyard shifts at legendary club Trouw to becoming one of the most renowned DJs worldwide, Job Jobse’s life is a metronome-driven pipe dream.",,No
Joey Valence & Brae,Energetic retro-rap jams,2026-06-14,,,,Hip-Hop/Rap,USA,"Joey Valence & Brae are an American duo blending old-school hip-hop influences with modern production, characterized by energetic beats and humorous, high-energy performances. Their music draws inspiration from 1990s rap styles, creating a nostalgic yet fresh sound.",,https://open.spotify.com/artist/1q4618qKswelCGLoanFKQh,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/2555/f0/df216b47ee1ed1b6185d25dbf4e0b0332bc2e335.jpg,"Their fusion of 90s hip-hop with contemporary production techniques results in a vibrant, playful sound that stands out for its nostalgic appeal and dynamic energy.",6,2,Male,No,,https://www.bestkeptsecret.nl/bands/joey-valence-brae,,"Joey Valence & Brae's tracks are jam packed with nerdy references to pop culture, memes, and games. They perform that sweet sample-based old-skool rap style with the almost endless possibilities of today. For example, the two childhood friends shot the video for Punk Tactics entirely on a Nintendo DS. Such fun stunts have earned Joey Valence & Brae a legion of millions of fans.",,No
Jungle By Night,Genre-crossing Afrofunk phenomenon,2026-06-14,,,,Afrobeat/Funk/Jazz,Netherlands,"Jungle By Night is a nine-piece instrumental band from the Netherlands, blending Afrobeat, funk, jazz, and psychedelic influences to create a dynamic and energetic sound. They have gained international recognition for their electrifying live performances and have performed at major festivals like North Sea Jazz and Lowlands.",,https://open.spotify.com/artist/2StcyX3fmelae5agBHIkDO,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/986a/50/bd05f7d6b4520056ea43f0424e23c5fd4b03d9a4.jpg,"Their ability to seamlessly fuse Afrobeat grooves with jazz and funk elements results in a vibrant and infectious sound, making them a standout in the global instrumental music scene.",7,9,Mixed,No,,https://www.bestkeptsecret.nl/bands/jungle-by-night,,"Synergy isn't just the name of a recent collaborative project Jungle By Night sunk their teeth in – it is truly who they are.Jungle By Night has explored virtually every musical style imaginable with thorough, thoughtful cross-pollination. Dub, krautrock, psychedelic rock, pop, dance, afrobeat, hip-hop, funk, and electronic music all feature in the groundbreaking vocabulary of this vital collective. Few can bring all those rich influences together and make people move in ways they never deemed possible.",,No
Leoniden,Meteoric indie-punk anthems,2026-06-12,,,,Indie Rock/Alternative Rock,Germany,"Leoniden is a German indie rock band known for their energetic live performances and a sound that blends catchy melodies with elements of funk, pop, and punk. Since their formation in 2014, they have gained a strong following in Europe with critically acclaimed albums like 'Again' and 'Complex Happenings Reduced to a Simple Design'.",,https://open.spotify.com/artist/1zwtew8BGPk66RKGQqtPCX,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/5ab2/6d/3ad5607c907b027d5159a29a3866132163bff7a8.jpg,"Leoniden's dynamic fusion of indie rock with funk and punk influences creates an infectious, high-energy sound that translates exceptionally well to their live shows, earning them a reputation as one of Germany's most exciting modern rock bands.",7,5,Male,Yes,,https://www.bestkeptsecret.nl/bands/leoniden,,"Sentimentality becomes the most epic of quests with German indie-punk outfit Leoniden: anthems crammed with pure-hearted, euphoric adrenaline.Such punching-the-air fanfare needs an equally powerful foil, which arrives in the shape of disarmingly frank, unpolished lyricism, bringing a depth and nuance that underpins the group's hard-hitting sound. Leoniden is a no-holds-barred, no-compromise, leaving-it-all-on-the-floor operation, and we can never have enough bands like this.",,No
