Artist,Tagline,Date,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify,YouTube,Instagram,Photo URL,My take,My rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Lucky Done Gone,Genre-blending DJ who brings that rare dancefloor euphoria,2026-06-13,,,,,,"[using festival bio due to a lack of publicly available data] If one is forced to narrow down a Lucky Done Gone DJ set in just two terms, it would be ‘carefree and contagious’.",,https://open.spotify.com/artist/1eKMhcfR1J5oGdmcOiVA1n,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/8f0b/4f/8e1d3ca76c8d99835b4de8df6ffe6ba4ac1f6a8c.jpg,,,,,,,https://www.bestkeptsecret.nl/bands/lucky-done-gone,,"If one is forced to narrow down a Lucky Done Gone DJ set in just two terms, it would be ‘carefree and contagious’.",,No
Mac DeMarco,Canadian slacker pop savant,2026-06-14,,,,Indie rock/Lo-fi/Psychedelic pop,Canada,"Mac DeMarco is a Canadian singer-songwriter, multi-instrumentalist, and producer known for his laid-back, jangly guitar-driven sound and unique 'slacker rock' aesthetic. His critically acclaimed albums, such as 'Salad Days' and 'This Old Dog,' have earned him a devoted following and solidified his reputation as a pioneer of modern indie music.",,https://open.spotify.com/artist/3Sz7ZnJQBIHsXLUSo0OQtM,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/9bb3/45/1d910a277b420e2626bda6ca7a1418fb6168c686.jpg,"Mac DeMarco's music is characterized by its mellow, nostalgic vibe, blending jangly guitars with introspective lyrics and a quirky, DIY production style. His ability to craft catchy yet emotionally resonant songs has made him a standout figure in the indie music scene.",8,,Male,No,,https://www.bestkeptsecret.nl/bands/mac-demarco,,"In the vast outstretched lands of British Columbia, Mac is a man who enjoys his canoeing, his riding of motorcycles and his building of water wells. And by the way, he pens a lot of great jams as well. Hence his latest work, coincidently called ‘Guitar’, is as pure of heart as its creator. Though it seems like Mac is forever winging it, his unmistakable wisdom and wry humor always simmer through.",,No
mark william lewis,Resonant & cinematic alternative folk,2026-06-13,,,,indie rock,UK,"[using festival bio due to a lack of publicly available data] Within the dusky, nocturnal songs of mark william lewis you can untangle head and heart at your own desired pace.Blessed with a deep baritone and a talent for painting scenes with through minimal means, it’s no wonder art house film giant A24 decided to ink the UK songwriter to a record deal. There is a gothic mystery lingering in lewis's songs, a love for electronic music, rap, grime and indie rock permeating through. An artist whose romanticism and fluidity are understated, yet undeniably magnetic.",,https://open.spotify.com/artist/2r5elgyPQ19vDG3xSQn39k,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/d4d4/2a/1d4fd80cb34bb325cbd3ce8c0a42bb0e548db6a6.png,,,1,male,,,https://www.bestkeptsecret.nl/bands/mark-william-lewis,,"Within the dusky, nocturnal songs of mark william lewis you can untangle head and heart at your own desired pace.Blessed with a deep baritone and a talent for painting scenes with through minimal means, it’s no wonder art house film giant A24 decided to ink the UK songwriter to a record deal. There is a gothic mystery lingering in lewis's songs, a love for electronic music, rap, grime and indie rock permeating through. An artist whose romanticism and fluidity are understated, yet undeniably magnetic.",,No
MAVI,Rap spirituals of a different caliber,2026-06-12,,,,Hip-Hop/Rap,USA,"MAVI is an American rapper known for his introspective lyrics and jazzy, lo-fi production. He gained critical acclaim with his 2019 debut album 'Let the Sun Talk' and has been recognized for his poetic approach to hip-hop.",,https://open.spotify.com/artist/1peoXq0RPx7czVoFjloeDQ,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/cdb0/88/1b692b6a857f9a579d33799e9041c3f9fe8b88db.jpg,"MAVI's intricate lyricism and soulful, jazz-infused beats set him apart in the modern hip-hop scene, drawing comparisons to artists like Earl Sweatshirt while maintaining a distinct voice.",7,,Male,Yes,,https://www.bestkeptsecret.nl/bands/mavi,,"In both style and substance, the Charlotte-born rapper has truly proven himself in a league of his own: impressionistic, ambitious, experimental and community driven. It has put two modern classics, Laughing so Hard, it Hurts (2022) and its mirage-like follow-up, shadowbox (2024), on the map. Indeed, the sky is in Mavi’s future… and the very limit of what he can achieve.",,No
MEROL,Dutch pop's Most Entertaining Role Model,2026-06-12,,,,Pop/Electropop,Netherlands,"MEROL is a Dutch pop artist known for her witty, bold lyrics and catchy electropop sound. She has gained significant attention for her humorous and empowering songs that often tackle themes of modern relationships, sexuality, and self-expression.",,https://open.spotify.com/artist/7J41Q5hdwuBgyVo7zGhPhO,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/ded7/49/8bf01b74b41055bc486fd098657e81584258982c.jpg,"MEROL's playful yet socially conscious lyrics, combined with her infectious electropop production, make her a standout voice in contemporary Dutch pop music. Her ability to blend humor with commentary on societal norms sets her apart.",7,,Female,No,,https://www.bestkeptsecret.nl/bands/merol,,"As the pre-eminent risk taker within the Dutch mainstream, you can always count on MEROL fearlessly plunge into the deepest end.The imagery of a shark – the creature she depicts on latest LP Naar De Haaien & Weer Terug – makes a lot of sense: MEROL can breach the surface with razor-sharp, risque EDM bangers, but also express the introspective struggle below with layered pop gems. Both on stage and on her records, fun, danger and vulnerability are MEROL's favorite bedfellows.",,No
Midrift,Prodigal shoegaze power trio,2026-06-13,,,,shoegaze,,"[using festival bio due to a lack of publicly available data] The kids are not only embracing shoegaze – they are taking it to someplace new. Midrift pepper in a bit of emo and pop punk to make things interesting.The path of these phenoms is not like some of their forebears, toiling away with raggedy house shows at first. Frontman Gus Mehrkam created his songs in his bedroom, uploaded them on TikTok, and bang! They became viral hits. With skirmishing siblings Kai and Manoa Neukermans completing the power trio, Midrift are justly what people call 'an overnight sensation'.",,https://open.spotify.com/artist/6ROfszneZDogjnbgqkxA7E,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/6ece/a0/2e8e85145e2402fb982e9840974d2869cfb8c7db.jpg,,,3,male,,,https://www.bestkeptsecret.nl/bands/midrift,,"The kids are not only embracing shoegaze – they are taking it to someplace new. Midrift pepper in a bit of emo and pop punk to make things interesting.The path of these phenoms is not like some of their forebears, toiling away with raggedy house shows at first. Frontman Gus Mehrkam created his songs in his bedroom, uploaded them on TikTok, and bang! They became viral hits. With skirmishing siblings Kai and Manoa Neukermans completing the power trio, Midrift are justly what people call 'an overnight sensation'.",,No
Militarie Gun,Post-hardcore of poetic honesty,2026-06-12,,,,Hardcore punk/Alternative rock,USA,"Militarie Gun is a Los Angeles-based band that blends hardcore punk energy with melodic alternative rock influences. Known for their emotionally charged lyrics and dynamic performances, they have gained attention for their fresh take on punk music.",,https://open.spotify.com/artist/4us4NMG5wuqdUZvthZrj0Q,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/8c79/6c/21036ca2224355272290dc8d1981a810cfe8bde3.jpg,"Militarie Gun combines the raw aggression of hardcore punk with a melodic sensibility reminiscent of 90s alternative rock, creating a sound that is both intense and accessible. Their ability to balance ferocity with hooks has earned them a growing reputation in the punk and indie scenes.",7,5,Male,No,,https://www.bestkeptsecret.nl/bands/militarie-gun,,"Militarie Gun convert hard luck tales into rousing, satisfying releases like few other bands can.Founded by frontman Ian Shelton, these American post-hardcore innovators restlessly seek out small blades of hope and vulnerability peering out from the hard-paved realities. They show that revolt isn’t just about shouting at the masses: illustrating one’s daily concerns and struggles can strike just as urgently.",,No
Model/Actriz,New York-based industrial-glam powerhouse,2026-06-12,,,,Noise Rock/Experimental Rock,USA,"Model/Actriz is a Brooklyn-based band known for their intense, high-energy performances and a sound that blends noise rock with industrial and experimental elements. Their music often explores themes of identity, desire, and chaos, creating a visceral and immersive experience.",,https://open.spotify.com/artist/7gdb1IQFHFQqCc5KoLTYNC,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/7226/be/df4369e3614603b09aa187cb0e81f0c0ae086de4.jpg,"Model/Actriz delivers a raw, frenetic energy through their abrasive yet danceable sound, drawing comparisons to acts like Daughters and Liars while carving out their own niche in the experimental rock scene.",7,4,Male,No,,https://www.bestkeptsecret.nl/bands/model-actriz,,"Swans, Sonic Youth, the whole no wave movement – New York has always been fertile ground for loud music, and Model/Actriz are enjoying the buffet.This band brings a different type of flair to the fore: have you ever imagined Gomez Addams fronting Nine Inch Nails, or Marc Almond featuring on a Gilla Band album? The mix of deafening noise and vaudevillian charm make Model/Actriz impossible to resist: their shows trigger a fundamental need for pure catharsis.",,No
Mula B,Narco pop superstar,2026-06-12,,,,Hip-Hop/Rap,Netherlands,"Mula B is a Dutch rapper known for his gritty lyrics and energetic delivery, often blending street narratives with catchy hooks. He gained prominence in the Dutch hip-hop scene with hits like 'Domme Jongens' and collaborations with other prominent artists.",,https://open.spotify.com/artist/6zEaCvF0CqEHs7kFyBkLHi,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/62ec/03/843f3f1ce147dcec1195a2f4e4a18fa29498855a.jpg,"Mula B's raw and dynamic style, combined with his ability to craft memorable hooks, has made him a standout in the Dutch hip-hop scene. His music often reflects urban life with an authentic and unfiltered perspective.",6,,Male,Yes,,https://www.bestkeptsecret.nl/bands/mula-b,,"Mula B and his intoxicating genre-blending narco pop blueprint are changing the entire Dutch rap game.If you walk the streets at night in any city, you hear all sorts of music fading in and out of each other – indie, pop, psychedelic rock, rap, reggaeton. Mula B adopted this miscellany to his own kitchen sink hip-hop tales and kaboom, suddenly, he became one of the most revitalising performers of the Low Countries. And we’re sure glad to have Mula B back in Hilvarenbeek.",,No
Mên An Tol,Fresh-faced folk-inspired guitar anthems,2026-06-14,,,,,,"[using festival bio due to a lack of publicly available data] Mên An Tol are named after an ancient rock formation in their native Cornish, which may tell you something about their overall approach to rock music.",,https://open.spotify.com/artist/4CFcHsL8xqUWQC4vIZWPOs,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/9909/eb/fd795dbdf669248f9d16b47e1592d7d553734288.jpg,,,,,,,https://www.bestkeptsecret.nl/bands/men-an-tol,,"Mên An Tol are named after an ancient rock formation in their native Cornish, which may tell you something about their overall approach to rock music.",,No
Nation of Language,New York synth pop torchbearers,2026-06-13,,,,Synthpop/Post-punk,USA,"Nation of Language is a Brooklyn-based band known for their blend of 80s-inspired synthpop and post-punk, drawing comparisons to acts like New Order and OMD. Their music features lush synthesizers, driving basslines, and introspective lyrics, earning them critical acclaim in the indie music scene.",,https://open.spotify.com/artist/5JWBow4ywgKNQ5HBxY8hcz,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/12a4/64/871e556f70498d23f757659e76d3d74dfa3267a9.jpg,"Nation of Language masterfully channels the spirit of 80s synthpop with a modern edge, creating emotionally resonant tracks that feel both nostalgic and fresh. Their sound is marked by a balance of melancholic melodies and danceable rhythms.",7,3,Male,No,,https://www.bestkeptsecret.nl/bands/nation-of-language,,"After Kraftwerk, New Order, and LCD Soundsystem passed the baton, now Nation Of Language upholds the continuum of new wave and synth pop greatness.The New York band's latest LP Dance Called Memory, poetically enough, grasps retroactively with how one wishes to be remembered, its songs emphasising physicality, impermanence and flaw over artifice and perfection. We're pleased to bring Nation Of Language back to Best Kept Secret's lakeside scenery.",,No
NewDad,Irish indie rock phenoms,2026-06-12,,,,Indie Rock/Dream Pop,Ireland,"NewDad is an indie rock band from Galway, Ireland, known for their dreamy, melancholic sound that blends ethereal vocals with lush guitar textures. Since their formation in 2018, they have gained attention for their introspective lyrics and atmospheric production, drawing comparisons to bands like The Cure and Slowdive.",,https://open.spotify.com/artist/1yz8XixOiIJJ9IxjbnfYV6,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/820d/ba/5d36e837ad373439bf944fec37db3d99f0bf068d.jpg,"NewDad's ability to craft emotionally resonant songs with shimmering, shoegaze-inspired instrumentation and heartfelt lyrics sets them apart in the indie rock scene. Their music captures a nostalgic yet fresh sound that appeals to fans of both classic and modern dream pop.",7,4,Female,No,,https://www.bestkeptsecret.nl/bands/newdad,,"Kids are rummaging parents’ music collections, and subsequently starting cool new bands. You can add Irish indie rockers NewDad to that crop.Those tried and true sounds clashing head on with restless, radical youth makes for something unspeakbly fresh. NewDad's gloomy but playful concoction of grunge, shoegaze and dream pop is likewise brimming with brilliant melodies and a lightning-in-the bottle energy that's hard to match.",,No
Parker Fans,Mischief-making indie boogie trio,2026-06-14,,,,,Netherlands,"[using festival bio due to a lack of publicly available data] There’s a fuzzy sentiment to Parker Fans’ self-described ‘three-way boogie bromance’, shuffling styles with a magpie’s spirit.Gabber house flirtations, hip-hop hoedowns, breakbeat bonanzas: this Dutch trio has a knack for courting all kinds of unexpected chaos – often of the gleeful variety. Fully aware of the futility of having too much fun, Parker Fans are squiggly, scatterbrained and compulsively scene-causing.",,https://open.spotify.com/artist/1vY8fuL3kdwvvfdoMHwvsX,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/105a/f6/1b8e5c565e427ffa20e7cb5497882c5a4150a0b2.jpg,,,3,,,,https://www.bestkeptsecret.nl/bands/parker-fans,,"There’s a fuzzy sentiment to Parker Fans’ self-described ‘three-way boogie bromance’, shuffling styles with a magpie’s spirit.Gabber house flirtations, hip-hop hoedowns, breakbeat bonanzas: this Dutch trio has a knack for courting all kinds of unexpected chaos – often of the gleeful variety. Fully aware of the futility of having too much fun, Parker Fans are squiggly, scatterbrained and compulsively scene-causing.",,No
Sammy Virji,Spry UK Garage-reigniter,2026-06-14,,,,UK Garage/House,UK,"Sammy Virji is a UK-based DJ and producer known for his vibrant take on UK Garage and House music. He has gained recognition for his energetic live performances and infectious tracks, which blend classic garage sounds with modern electronic influences.",,https://open.spotify.com/artist/1GuqTQbuixFHD6eBkFwVcb,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/b525/86/18c6ccc004a9883df423711d4e8a445111d62aea.jpg,"Sammy Virji's ability to modernize UK Garage with playful, bass-heavy beats and catchy melodies has made him a standout figure in the genre. His music is both nostalgic and forward-thinking, appealing to fans of classic garage and contemporary dance music alike.",7,,Male,No,,https://www.bestkeptsecret.nl/bands/sammy-virji,,"Over the past eight years, he's expanded his discography and created an unforgettable live show. After his iconic single ""Shella Verse"" featuring Flowdan and his viral DJ Mag stream, he's become an indispensable part of the dance world. With his new album, ""If U Need It,"" he's steadily growing his fan base. Sammy is bringing UKG to a wider audience while simultaneously developing and refining his own sound.",,No
Sef,One of Dutch rap's chief voices,2026-06-13,,,,Hip-Hop/Rap,Netherlands,"Sef, born Yousef Gnaoui, is a Dutch rapper and singer known for his melodic approach to hip-hop and his ability to blend rap with pop and electronic influences. He gained recognition as part of the rap group Flinke Namen before embarking on a successful solo career, releasing albums like 'El Salvador' and 'In Kleur' that showcase his introspective lyrics and genre-blending sound.",,https://open.spotify.com/artist/5VGhS6nHpXPbXGhku9RRB0,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/ebf9/47/029d476b31f70625e0acf89dc9cd222447a315df.jpg,"Sef's ability to fuse introspective lyrics with pop and electronic elements sets him apart in the Dutch hip-hop scene, offering a versatile and polished sound that appeals to a broad audience.",7,,Male,Yes,,https://www.bestkeptsecret.nl/bands/sef,,"With his deeply impressive performances on big festival stages last summer, and a sold-out club tour still fresh in our minds, Sef has solidified himself as one of Dutch rap’s leading lights. From his beloved hip-hop staple De Leven to latest LP lieve monsters – a dark but danceable tale of collective despair – Yousef Gnaoui enters Best Kept Secret with a surplus of stories, stirring energy and moments that’ll stick with you.",,No
Shady Nasty,"Fiery mix of hip-hop, post-punk and electronics",2026-06-12,,,,Post-punk/Hip-hop,Australia,"Shady Nasty is a Sydney-based band blending post-punk, hip-hop, and experimental elements to create a unique and gritty sound. Their music often explores themes of urban life and youth culture, delivered with raw energy and unconventional arrangements.",,https://open.spotify.com/artist/5fEdUhbIAf9JlPhlc3swPx,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/17be/e7/be41df1bf8a2bc88ac85ea3f72161a34b711ee88.jpg,"Their fusion of post-punk's angular intensity with hip-hop's rhythmic sensibilities creates a distinctive and edgy sound, reflecting the complexities of modern urban experiences.",6,3,Male,No,,https://www.bestkeptsecret.nl/bands/shady-nasty,,"Add a Fred again.. to your list of fans, and things suddenly travel at warp-speed. This is exactly what happened to Australian act Shady Nasty.Frankly, the enthusiasm is entirely justified, because Shady Nasty's sound is as immediately bewitching as its tricky to define. Their adventurous productions slither in that liminal space between post-punk and hip-hop, with lyrics candidly channeling the everyday grind. Shady Nasty is already a cross-cultural marvel to truly reckon with.",,No
Sharon van Etten & The Attachment Theory,One of indie rock's most powerful voices,2026-06-14,,,,,,"[using festival bio due to a lack of publicly available data] Sharon van Etten has come a long way: through peaks and valleys, in times of coming-of-age, devastation, collaboration, and triumph.Yet we continue to be surprised by the myriad ways her expressive voice overtakes us. Next to being one of the most influential & era-defining songwriters of her era, Van Etten is a true polymath, making her presence known in the fields of photography, dance, film and psychology in equal measure.",,https://open.spotify.com/artist/2wJ4vsxWd7df7dRU4KcoDe,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/1ac9/83/aca9059de10cadcc26437f81613a69c01ed28659.jpg,,,,she,,,https://www.bestkeptsecret.nl/bands/sharon-van-etten-the-attachment-theory,,"Sharon van Etten has come a long way: through peaks and valleys, in times of coming-of-age, devastation, collaboration, and triumph.Yet we continue to be surprised by the myriad ways her expressive voice overtakes us. Next to being one of the most influential & era-defining songwriters of her era, Van Etten is a true polymath, making her presence known in the fields of photography, dance, film and psychology in equal measure.",,No
Skullcrusher,Spectral folk of quiet devastation,2026-06-14,,,,Indie Folk/Dream Pop,USA,"Skullcrusher is the musical project of Helen Ballentine, an American singer-songwriter known for her introspective lyrics and ethereal soundscapes. Her music blends delicate acoustic arrangements with dreamy, melancholic tones, drawing comparisons to artists like Phoebe Bridgers and Sufjan Stevens.",,https://open.spotify.com/artist/1GUaQ6GpaxFPKZ0SCSsnwD,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/8e4d/0a/69fabdcfd7ba1b4eb578434b8e456386a88f2205.jpg,"Skullcrusher's ability to craft intimate, hauntingly beautiful songs with understated instrumentation and poignant storytelling has garnered critical acclaim, making her a standout in the indie folk and dream pop genres.",7,,Female,No,,https://www.bestkeptsecret.nl/bands/skullcrusher,,"Funny thing: the Skullcrusher moniker was hatched by Helen Ballentine when she started a DJ project mixing My Bloody Valentine and Autechre. When that didn't pan out, it just stuck when she decided to pen haunting finger-picking folk songs that seem to exist inside of a David Lynch or Kiyoshi Kurasawa picture. Skullcrusher expertly treads a fine line between beauty and devastation.",,No
Sophie Straat,Dutch protest singer extraordinaire,2026-06-14,,,,Nederpop/Folk,Netherlands,"Sophie Straat is a Dutch singer known for her modern take on the traditional 'levenslied' genre, blending socially conscious lyrics with a nostalgic yet contemporary sound. Her music often addresses political and social issues, resonating with a younger audience while paying homage to classic Dutch folk traditions.",,https://open.spotify.com/artist/6SU1jFBqw4tZJQDT8iQ6Nw,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/30c2/d5/e9de55ff368d31318cf3d78869b798986c6a4c38.jpg,Sophie Straat's ability to modernize the Dutch levenslied with sharp social commentary and a retro-inspired sound makes her a unique voice in contemporary Dutch music. Her work bridges generational gaps and brings fresh relevance to a traditional genre.,7,,Female,No,,https://www.bestkeptsecret.nl/bands/sophie-straat,,"The Amsterdam-based protest singer is a savvy satirist who possesses immense talent for addressing the ills of the world with maximum entertainment. Stylistically, she veers from Dutch smartlap folk to punk rock on a whim – often with message attached. All-embracing and eternally on the frontlines against injustice, Sophie Straat is one of the most unique and outspoken voices in Dutch pop.",,No
Sorry,Indie rock with a novelistic bite,2026-06-13,,,,Indie rock/Alternative rock,UK,"Sorry is a London-based band known for their experimental approach to indie rock, blending elements of grunge, electronic, and jazz influences. Their critically acclaimed debut album '925' (2020) showcased their genre-defying sound and lyrical depth.",,https://open.spotify.com/artist/5eUda4BaWhUQWWJiP1ml5v,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/115d/e3/c2451f822fb936c0b79f0a30246829516df14bfb.jpg,"Sorry's ability to seamlessly merge grungy guitars, electronic textures, and introspective lyrics sets them apart in the indie rock scene. Their innovative sound and strong critical reception make them a standout act.",7,5,Mixed,No,,https://www.bestkeptsecret.nl/bands/sorry,,"Sorry imbue their cinematic & angular indie rock with the storytelling prowess of a distinguished novelist.Seedy tales of the city, the taboos of love and sex, the horrors of post-modern living – Asha Lorenz and Louis O’ Bryen intend to unpack it all. The band’s fantastic latest LP Cosplay unmasks both their inner tensions and the pretenses of the outside world.",,No
The Zawose Queens,Rapturous Gogo spirituals,2026-06-13,,,,,Tanzania,"[using festival bio due to a lack of publicly available data] Tanzania's Zawose Queens channel vibrations of the ancestors through their rapturous polyphonic singing.As the daughter and granddaughter of the legendary Dr. Hukwe Zawose, Leah and Pendo are ushering in the family tradition as its first female practitioners. Their fusion of the Gogo music and modern-day electronics expresses a deep connection towards nature, to ceremony and to ritual: music teeming with unshakable spirit and fire.",,https://open.spotify.com/artist/5e8d20rB9aHyqFJLHlu4QI,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/2eca/27/dab0d9705e91d342681bb3b086610b8ea15f3c8d.jpg,,,,Mixed,Yes,,https://www.bestkeptsecret.nl/bands/the-zawose-queens,,"Tanzania's Zawose Queens channel vibrations of the ancestors through their rapturous polyphonic singing.As the daughter and granddaughter of the legendary Dr. Hukwe Zawose, Leah and Pendo are ushering in the family tradition as its first female practitioners. Their fusion of the Gogo music and modern-day electronics expresses a deep connection towards nature, to ceremony and to ritual: music teeming with unshakable spirit and fire.",,No
Tramhaus,Rotterdam-based punk rock collossus,2026-06-13,,,,Post-punk/Alternative,Netherlands,"Tramhaus is a Rotterdam-based post-punk band known for their raw energy and politically charged lyrics, blending angular guitar riffs with a driving rhythm section to create a visceral live experience.",,https://open.spotify.com/artist/5HXrUfoDwofY8lehLNIykB,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/6d3e/18/2bf893218e889ea6ec09d67f82a700a01db00bae.jpg,"Their sound captures the essence of classic post-punk while infusing it with a modern edge, marked by intense performances and socially conscious themes.",6,5,Mixed,No,,https://www.bestkeptsecret.nl/bands/tramhaus,,"At a blistering pace, Tramhaus snowballed from Rotterdam’s latest post-punk curiosity to one of Europe’s greatest rock bands.And with two legendary shows at Best Kept Secret already under the group's belt, it makes perfect sense to invite them back for another noisy merry-go-round. Beneath all those powerhouse riffs, blunt force trauma, and indefatigable DIY spirit, Tramhaus are a band with a big beating heart, and a special knack for making audiences feel present, seen and loved.",,No
Tropical Fuck Storm,Noisy blues punk abomination,2026-06-13,,,,Experimental Rock/Art Punk,Australia,"Tropical Fuck Storm is an Australian band known for their chaotic, experimental rock sound that blends elements of art punk, noise rock, and post-punk. Formed in 2017 by members of The Drones, they have gained critical acclaim for their inventive songwriting and intense live performances.",,https://open.spotify.com/artist/0mL6LBSQ4bHe6hWq90KzHL,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/e31d/fc/989c2244e9c39769e9f8596f7aac236a83ab9b0d.jpg,"Their music combines abrasive guitar work, unconventional song structures, and darkly satirical lyrics, creating a distinctive and uncompromising sound that challenges traditional rock norms.",8,4,Mixed,No,,https://www.bestkeptsecret.nl/bands/tropical-fuck-storm,,"Imagine all of your favorite rock bands melted down into some sort of stenchy primordial soup, only to rise and reform.",,No
Weval (live),Tasteful electro-acoustic dream weavers,2026-06-13,,,,Electronic/Indie,Netherlands,"Weval is a Dutch electronic music duo consisting of Harm Coolen and Merijn Scholte Albers, known for their emotive and genre-blurring sound that combines elements of electronic, indie, and downtempo music. They have gained acclaim for their intricate productions and dynamic live performances, releasing music on the renowned Kompakt label.",,https://open.spotify.com/artist/12tZvy2xFpWSkuJ3FsfisZ,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/09cd/34/118ba307ada1217d783bcdeb7375f7f1eca127af.jpg,"Weval's music stands out for its rich textures and emotional depth, blending lush electronic soundscapes with organic instrumentation and subtle vocal elements. Their live performances are celebrated for their immersive and atmospheric quality.",7,2,Mixed,No,,https://www.bestkeptsecret.nl/bands/weval-live,,"There's an immense care this Dutch duo put into their chosen craft – and a surrender to one’s deepest listening instincts.Those two methods are part of the Weval magic – the studious tinkering vs. the spontaneity of live instrumentation, until that sweet innuendo between the artificial and the organic is achieved. Through headphones and across the dancefloors, Weval remains an ever-sublime and satisfying operation, renowned across all corners of the world.",,No
Wolf Alice,Resonant UK alt rock sensation,2026-06-13,,,,Alternative Rock/Indie Rock,UK,"Wolf Alice is a British alternative rock band formed in London in 2010. Known for their dynamic sound that blends grunge, folk, and dream pop, they have received critical acclaim, including a Mercury Prize win for their 2017 album 'Visions of a Life'.",,https://open.spotify.com/artist/3btzEQD6sugImIHPMRgkwV,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/2da4/67/687e84ed7848ed0a86a3b65bec5fd925e51bbd18.jpg,"Wolf Alice's ability to seamlessly transition between ethereal melodies and gritty, guitar-driven anthems sets them apart in the alternative rock scene. Their genre-blending sound and emotionally resonant lyrics have solidified their reputation as one of the most versatile and compelling bands of their generation.",8,4,Female,No,,https://www.bestkeptsecret.nl/bands/wolf-alice,,"Their latest LP The Clearing luxuriates in aspects of some of rock music’s greatest – the melodic genius of Fleetwood Mac, the glam rock strut of T-Rex, the technicolor exuberance of ELO. Wolf Alice have plenty of classics to call their own: how many songs capture both the devastation and thrill of falling in love better than “Don’t Delete The Kisses”? Best Kept Secret has felt this thrill many times before. Safe to say, that third post-show dip in the lake’s a charm.",,No
Yard Act,Dry-witted post-punk dissidents,2026-06-14,,,,Post-punk/Indie Rock,UK,"Yard Act is a British post-punk band from Leeds, known for their sharp, satirical lyrics and minimalist instrumentation. Their debut album 'The Overload' (2022) received critical acclaim and was shortlisted for the Mercury Prize.",,https://open.spotify.com/artist/2h3ooJn8m8X8cL2g1BZ1Rd,,,https://www.bestkeptsecret.nl/media/cache/default_act_item/upload/media/default/4c8d/4c/6c1df00d00283179a3b854e194e05bf6c090d630.jpg,"Yard Act's witty, socially observant lyrics paired with their raw, angular post-punk sound make them a standout in the modern UK music scene. Their debut album showcases a clever blend of humor and critique, drawing comparisons to acts like The Fall and Sleaford Mods.",7,4,Male,No,,https://www.bestkeptsecret.nl/bands/yard-act,,"From boy bands, cowbell disco to MacBeth, nothing is excluded in the wonderfully witty pocket world of Yard Act.Initially breaking in the post-punk revival's slipstream, Yard Act quickly separated themselves from the pack of soapbox-shouters with their charmingly flawed character sketches, offbeat everyman humor and starry-eyed pop sensibility. On their latest LP Where's My Utopia? Yard Act remain as sincere as they are endlessly entertaining.",,No
