Title,Body,Labels,Source Line
"add a column for 'background generated' to the CSV, and use that to store the AI-generated backgr...","This task was imported from the TODO list.

**Original TODO item:**
add a column for 'background generated' to the CSV, and use that to store the AI-generated background info

**Source:** `documentation/TODO.md` (line 8)","enhancement,from-todo",8
improve error handling and logging in all scripts,"This task was imported from the TODO list.

**Original TODO item:**
improve error handling and logging in all scripts

**Source:** `documentation/TODO.md` (line 12)","enhancement,from-todo",12
create a requirements.txt file for easy installation of dependencies,"This task was imported from the TODO list.

**Original TODO item:**
create a requirements.txt file for easy installation of dependencies

**Source:** `documentation/TODO.md` (line 14)","enhancement,from-todo",14
add a CONTRIBUTING.md file with guidelines for contributing to the project,"This task was imported from the TODO list.

**Original TODO item:**
add a CONTRIBUTING.md file with guidelines for contributing to the project

**Source:** `documentation/TODO.md` (line 15)","enhancement,from-todo",15
set up continuous integration (CI) to automatically run tests on pull requests,"This task was imported from the TODO list.

**Original TODO item:**
set up continuous integration (CI) to automatically run tests on pull requests

**Source:** `documentation/TODO.md` (line 16)","enhancement,from-todo",16
improve the styling of the generated HTML pages (CSS),"This task was imported from the TODO list.

**Original TODO item:**
improve the styling of the generated HTML pages (CSS)

**Source:** `documentation/TODO.md` (line 17)","enhancement,from-todo",17
"add more customization options to the generate_html.py script (e.g., colors, fonts)","This task was imported from the TODO list.

**Original TODO item:**
add more customization options to the generate_html.py script (e.g., colors, fonts)

**Source:** `documentation/TODO.md` (line 18)","enhancement,from-todo",18
optimize image sizes for faster loading times on the website,"This task was imported from the TODO list.

**Original TODO item:**
optimize image sizes for faster loading times on the website

**Source:** `documentation/TODO.md` (line 19)","enhancement,from-todo",19
add a To Top button on the index.html pages for easier navigation,"This task was imported from the TODO list.

**Original TODO item:**
add a To Top button on the index.html pages for easier navigation

**Source:** `documentation/TODO.md` (line 20)","enhancement,from-todo",20
implement lazy loading for images on the main lineup page,"This task was imported from the TODO list.

**Original TODO item:**
implement lazy loading for images on the main lineup page

**Source:** `documentation/TODO.md` (line 21)","enhancement,from-todo",21
Restore the About (from festival) in the original Dutch version scraped from the festival website,"This task was imported from the TODO list.

**Original TODO item:**
Restore the About (from festival) in the original Dutch version scraped from the festival website

**Source:** `documentation/TODO.md` (line 22)","enhancement,from-todo",22
add a print stylesheet to make the pages printer-friendly,"This task was imported from the TODO list.

**Original TODO item:**
add a print stylesheet to make the pages printer-friendly

**Source:** `documentation/TODO.md` (line 24)","enhancement,from-todo",24
make the badges for Genre and Country links to the filtered view for the festival,"This task was imported from the TODO list.

**Original TODO item:**
make the badges for Genre and Country links to the filtered view for the festival

**Source:** `documentation/TODO.md` (line 25)","enhancement,from-todo",25
add a FAQ section to the README.md,"This task was imported from the TODO list.

**Original TODO item:**
add a FAQ section to the README.md

**Source:** `documentation/TODO.md` (line 26)","enhancement,from-todo",26
add charts showing the diversity statistics for each year,"This task was imported from the TODO list.

**Original TODO item:**
add charts showing the diversity statistics for each year

**Source:** `documentation/TODO.md` (line 27)","enhancement,from-todo",27
consolidate to a single list of festivals in festival_helpers/config.py and use that everywhere i...,"This task was imported from the TODO list.

**Original TODO item:**
consolidate to a single list of festivals in festival_helpers/config.py and use that everywhere instead of `FESTIVALS = [...]`, `$festivals = @(...)``in multiple places, `## Supported Festivals` in README.md, and elsewhere

**Source:** `documentation/TODO.md` (line 28)","enhancement,from-todo",28
add missing overrides.css/js files for festivals that don't have them yet,"This task was imported from the TODO list.

**Original TODO item:**
add missing overrides.css/js files for festivals that don't have them yet

**Source:** `documentation/TODO.md` (line 29)","enhancement,from-todo",29
"add ""Festival Tagline"" column to all other festival CSVs (currently only in Best Kept Secret)","This task was imported from the TODO list.

**Original TODO item:**
add ""Festival Tagline"" column to all other festival CSVs (currently only in Best Kept Secret)

**Source:** `documentation/TODO.md` (line 30)","enhancement,from-todo",30
"let Gen AI generate ""AI Tagline"" for all artists and add to CSVs","This task was imported from the TODO list.

**Original TODO item:**
let Gen AI generate ""AI Tagline"" for all artists and add to CSVs

**Source:** `documentation/TODO.md` (line 31)","enhancement,from-todo",31
"add ""Festival Tagline"" and ""AI Tagline"" display to artist pages and main lineup page","This task was imported from the TODO list.

**Original TODO item:**
add ""Festival Tagline"" and ""AI Tagline"" display to artist pages and main lineup page

**Source:** `documentation/TODO.md` (line 32)","enhancement,from-todo",32
"use  ""AI Tagline""  in the festival index instead of ""Bio"" and Ai Summary","This task was imported from the TODO list.

**Original TODO item:**
use  ""AI Tagline""  in the festival index instead of ""Bio"" and Ai Summary

**Source:** `documentation/TODO.md` (line 33)","enhancement,from-todo",33
reorder artist page: maybe 3 columns: Image | AI columns | Festival columns,"This task was imported from the TODO list.

**Original TODO item:**
reorder artist page: maybe 3 columns: Image | AI columns | Festival columns

**Source:** `documentation/TODO.md` (line 34)","enhancement,from-todo",34
"add Day, Start Time, End Time, Stage columns to all other festival CSVs (currently only in Best K...","This task was imported from the TODO list.

**Original TODO item:**
add Day, Start Time, End Time, Stage columns to all other festival CSVs (currently only in Best Kept Secret)

**Source:** `documentation/TODO.md` (line 35)","enhancement,from-todo",35
"add Day, Start Time, End Time, Stage columns to all other festival CSVs (currently only in Best K...","This task was imported from the TODO list.

**Original TODO item:**
add Day, Start Time, End Time, Stage columns to all other festival CSVs (currently only in Best Kept Secret)

**Source:** `documentation/TODO.md` (line 37)","enhancement,from-todo",37
"many artists have no Links, maybe the scraping logic can be improved to find more links?","This task was imported from the TODO list.

**Original TODO item:**
many artists have no Links, maybe the scraping logic can be improved to find more links?

**Source:** `documentation/TODO.md` (line 38)","enhancement,from-todo",38
"the spotify link is also in the ""Social Links"", so that's redundant, maybe remove it from there?","This task was imported from the TODO list.

**Original TODO item:**
the spotify link is also in the ""Social Links"", so that's redundant, maybe remove it from there?

**Source:** `documentation/TODO.md` (line 39)","enhancement,from-todo",39
it looks like the Spotify artist links are missing from the festival index pages.,"This task was imported from the TODO list.

**Original TODO item:**
it looks like the Spotify artist links are missing from the festival index pages.

**Source:** `documentation/TODO.md` (line 40)","enhancement,from-todo",40
"add a link to download the CSV file on each festival's index.html page, maybe in the footer?","This task was imported from the TODO list.

**Original TODO item:**
add a link to download the CSV file on each festival's index.html page, maybe in the footer?

**Source:** `documentation/TODO.md` (line 41)","enhancement,from-todo",41
